,ticker,date,trade
582,CNA,2023-04-04,
583,CNC,2023-04-04,
584,CNHI,2023-04-04,
585,CNK,2023-04-04,
586,CNM,2023-04-04,
587,CNMD,2023-04-04,
588,CNNE,2023-04-04,
589,CNO,2023-04-04,
590,CNOB,2023-04-04,
591,CNP,2023-04-04,
592,CNS,2023-04-04,
593,CNTY,2023-04-04,
594,CNX,2023-04-04,
595,CNXC,2023-04-04,
596,CNXN,2023-04-04,
597,COCO,2023-04-04,
598,CODA,2023-04-04,
599,CODI,2023-04-04,
600,COF,2023-04-04,
601,COFS,2023-04-04,
602,COGT,2023-04-04,
603,COHN,2023-04-04,
604,COHR,2023-04-04,
605,COHU,2023-04-04,
606,COIN,2023-04-04,0.0
607,COKE,2023-04-04,
608,COLB,2023-04-04,
609,COLD,2023-04-04,
610,COLL,2023-04-04,
611,COLM,2023-04-04,
612,CONN,2023-04-04,
613,COO,2023-04-04,
614,COOP,2023-04-04,
615,COP,2023-04-04,
616,CORT,2023-04-04,
617,COST,2023-04-04,
618,COTY,2023-04-04,
619,COUR,2023-04-04,
620,CP,2023-04-04,
621,CPB,2023-04-04,
622,CPE,2023-04-04,
623,CPF,2023-04-04,
624,CPHC,2023-04-04,
625,CPK,2023-04-04,
626,CPNG,2023-04-04,
627,CPRI,2023-04-04,
628,CPRT,2023-04-04,
629,CPRX,2023-04-04,
630,CPS,2023-04-04,0.0
631,CPSI,2023-04-04,
632,CPSS,2023-04-04,0.0
633,CPT,2023-04-04,
634,CR,2023-04-04,
635,CRAI,2023-04-04,
636,CRBP,2023-04-04,
637,CRBU,2023-04-04,
638,CRC,2023-04-04,
639,CRCT,2023-04-04,
640,CRD.A,2023-04-04,
641,CRDO,2023-04-04,
642,CRGY,2023-04-04,
643,CRI,2023-04-04,
644,CRK,2023-04-04,
645,CRL,2023-04-04,
646,CRM,2023-04-04,
647,CRMT,2023-04-04,
648,CRNC,2023-04-04,
649,CRNX,2023-04-04,
650,CROX,2023-04-04,
651,CRS,2023-04-04,
652,CRSP,2023-04-04,
653,CRSR,2023-04-04,
654,CRTO,2023-04-04,
655,CRUS,2023-04-04,
656,CRVL,2023-04-04,
657,CRWD,2023-04-04,
658,CRWS,2023-04-04,
659,CSCO,2023-04-04,
660,CSGP,2023-04-04,
661,CSGS,2023-04-04,
662,CSII,2023-04-04,
663,CSL,2023-04-04,
664,CSPI,2023-04-04,
